RN1,Rekening,3.33,2017-05-03
RN2,Rekening,3.33,2017-05-03
RN3,Rekening,3.33,2017-05-03
RN4,Rekening,3.33,2017-05-03
RN1,Rekening,3.33,2017-05-03
RN2,Rekening,3.33,2017-05-03
RN3,Rekening,3.33,2017-05-03
RN4,Rekening,3.33,2017-05-03
RN1,Rekening,3.33,2017-05-03
RN2,Rekening,3.33,2017-05-03
RN3,Rekening,3.33,2017-05-03
RN4,Rekening,3.33,2017-05-03
,,,,
RN1,Rekening,3.33,2017-05-03
RN2,Rekening,3.33,2017-05-03
RN3,Rekening,3.33,2017-05-03
RN4,Rekening,3.33,2017-05-03
RN1,Rekening,3.33,2017-05-03
RN2,Rekening,3.33,2017-05-03
RN3,Rekening,3.33,2017-05-03